                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.90503,                0.59416,                0.94996,                0.95334,                0.99485,                0.99132,                0.68128,                 1.2457,                0.61495,                 1.1072,               0.000948,               0.000948,               0.000948
                     70,                0.91489,                0.59166,                0.95408,                0.96077,                      1,                0.99159,                0.65121,                 1.2907,                0.64257,                 1.1741,             0.00094093,             0.00094093,             0.00094093
                     71,                0.92609,                0.60877,                0.96183,                0.94758,                0.99184,                0.98915,                 0.6591,                 1.2809,                0.63666,                 1.1575,             0.00093385,             0.00093385,             0.00093385
                     72,                 0.9145,                0.59173,                0.95675,                0.95565,                0.96986,                0.99022,                0.66908,                 1.2303,                0.60737,                 1.1208,             0.00092678,             0.00092678,             0.00092678
                     73,                0.90894,                  0.601,                0.95505,                0.96972,                0.97914,                 0.9929,                0.68082,                 1.2487,                0.57721,                 1.1155,              0.0009197,              0.0009197,              0.0009197
                     74,                0.87536,                0.56412,                0.94863,                0.98178,                0.99048,                0.99345,                0.66909,                 1.2435,                0.58619,                 1.0937,             0.00091263,             0.00091263,             0.00091263
                     75,                0.87886,                0.57748,                0.93831,                0.97108,                0.98894,                 0.9864,                0.68562,                 1.2024,                 0.5947,                 1.0548,             0.00090556,             0.00090556,             0.00090556
                     76,                0.88501,                 0.5709,                0.94422,                0.99733,                 0.9988,                  0.995,                0.69375,                 1.1914,                0.56198,                 1.0616,             0.00089848,             0.00089848,             0.00089848
                     77,                0.89183,                0.56433,                0.94962,                0.98376,                0.98089,                0.99142,                0.68221,                 1.1801,                0.58732,                 1.0524,             0.00089141,             0.00089141,             0.00089141
                     78,                0.86371,                0.56109,                0.94137,                0.97632,                 0.9878,                0.99345,                0.66597,                 1.2178,                0.58461,                 1.0613,             0.00088434,             0.00088434,             0.00088434
                     79,                0.86181,                0.55708,                0.93028,                0.94518,                0.99052,                0.98981,                0.64741,                 1.3424,                0.59926,                 1.1039,             0.00087726,             0.00087726,             0.00087726
                     80,                0.87144,                0.56841,                0.94322,                0.97618,                0.99764,                 0.9938,                0.66776,                 1.2834,                 0.5866,                 1.0749,             0.00087019,             0.00087019,             0.00087019
                     81,                0.87653,                0.55411,                 0.9354,                0.97197,                0.98259,                0.98859,                0.66226,                 1.2516,                0.59747,                 1.0616,             0.00086312,             0.00086312,             0.00086312
                     82,                 0.8563,                 0.5479,                0.94119,                0.99313,                0.97143,                0.99133,                0.67414,                 1.2386,                0.58991,                 1.0686,             0.00085604,             0.00085604,             0.00085604
                     83,                0.82442,                0.53277,                 0.9273,                0.97968,                0.94286,                0.98656,                0.67281,                 1.2523,                0.59469,                 1.1018,             0.00084897,             0.00084897,             0.00084897
                     84,                0.85924,                0.56536,                0.93728,                0.96164,                0.96936,                0.99009,                0.69303,                 1.2085,                0.57304,                 1.1055,              0.0008419,              0.0008419,              0.0008419
                     85,                0.84465,                 0.5445,                0.93293,                0.94756,                 0.9709,                 0.9876,                0.67969,                 1.2051,                0.58803,                 1.0828,             0.00083482,             0.00083482,             0.00083482
                     86,                0.85156,                0.56176,                0.93726,                0.98069,                0.97811,                0.99194,                0.69135,                 1.2082,                0.56286,                 1.0878,             0.00082775,             0.00082775,             0.00082775
                     87,                0.83653,                0.53894,                0.93116,                0.92238,                0.97143,                0.98216,                0.65978,                 1.3107,                0.61591,                  1.111,             0.00082067,             0.00082067,             0.00082067
                     88,                0.81312,                 0.5278,                0.92909,                0.96011,                0.96869,                0.98664,                0.68722,                 1.1867,                0.59863,                 1.0887,              0.0008136,              0.0008136,              0.0008136
                     89,                 0.8317,                0.54051,                0.93146,                0.99219,                0.99598,                  0.995,                0.69321,                 1.1916,                 0.5747,                 1.0635,             0.00080653,             0.00080653,             0.00080653
                     90,                0.82182,                0.53155,                0.93237,                0.99314,                0.96857,                0.99227,                0.67914,                 1.2045,                0.55527,                  1.076,             0.00079945,             0.00079945,             0.00079945
                     91,                0.82291,                0.52832,                0.92721,                0.97549,                0.98838,                0.99341,                0.70691,                 1.1918,                0.55464,                  1.057,             0.00079238,             0.00079238,             0.00079238
                     92,                0.81953,                0.52637,                0.93023,                0.98415,                0.97869,                0.99223,                0.68552,                 1.2221,                0.59366,                  1.081,             0.00078531,             0.00078531,             0.00078531
                     93,                0.80469,                0.52071,                 0.9245,                0.99667,                0.99509,                  0.995,                0.68982,                 1.1587,                0.56169,                 1.0438,             0.00077823,             0.00077823,             0.00077823
                     94,                0.80175,                0.52027,                0.91853,                0.99495,                0.97095,                0.99342,                0.67552,                 1.2493,                0.58776,                 1.0506,             0.00077116,             0.00077116,             0.00077116
                     95,                0.82835,                0.52562,                0.92615,                0.98729,                0.96876,                0.99392,                0.69035,                 1.1894,                 0.5576,                 1.0405,             0.00076409,             0.00076409,             0.00076409
                     96,                0.80278,                0.51789,                0.91899,                0.97655,                0.98717,                0.99236,                0.67782,                 1.2152,                0.55663,                 1.0846,             0.00075701,             0.00075701,             0.00075701
                     97,                0.79712,                 0.5261,                0.92285,                0.96829,                0.97966,                0.99328,                0.69072,                  1.224,                0.57979,                 1.0915,             0.00074994,             0.00074994,             0.00074994
                     98,                0.80729,                0.52603,                0.93397,                0.97966,                0.97981,                0.99051,                0.68314,                 1.2019,                 0.5683,                 1.1061,             0.00074287,             0.00074287,             0.00074287
                     99,                0.78283,                0.53068,                0.92943,                0.98129,                0.97881,                0.98362,                0.68776,                 1.2139,                0.55697,                  1.083,             0.00073579,             0.00073579,             0.00073579
                    100,                0.79933,                0.52558,                0.92091,                0.94809,                0.98644,                0.98841,                0.68841,                 1.2288,                0.55345,                 1.1028,             0.00072872,             0.00072872,             0.00072872
                    101,                0.80038,                 0.5228,                0.92032,                0.96849,                0.98871,                0.99019,                 0.6561,                 1.2809,                0.60311,                 1.1244,             0.00072164,             0.00072164,             0.00072164
                    102,                0.81453,                 0.5255,                0.92446,                0.95284,                0.97375,                0.98532,                0.67212,                 1.2312,                0.56913,                 1.1186,             0.00071457,             0.00071457,             0.00071457
                    103,                 0.8306,                0.52692,                 0.9192,                0.93419,                0.98633,                0.97797,                0.67678,                 1.2269,                0.58852,                 1.1248,              0.0007075,              0.0007075,              0.0007075
                    104,                0.76948,                0.50422,                0.91825,                0.98651,                0.96518,                0.98801,                 0.6863,                 1.2195,                0.54743,                 1.0889,             0.00070042,             0.00070042,             0.00070042
                    105,                0.79366,                0.51512,                0.92527,                0.97689,                0.96473,                0.97946,                0.65753,                 1.2382,                 0.5498,                 1.0404,             0.00069335,             0.00069335,             0.00069335
